map,idea,idea_num,user,x,y,x_real,y_real,x_example,y_example
bag_of_words,See the Northern Lights,5,8,-2,4.5,-2.2754536,4.3009055,-2.276619,4.312763
bag_of_words,See the Northern Lights,5,9,-2,4,-2.2754536,4.3009056,-2.276619,4.312764
bag_of_words,See the Northern Lights,5,10,10.86,2.72,-2.2754536,4.3009057,-2.276619,4.312765
bag_of_words,See the Northern Lights,5,11,-2.431932,-5.317236,-2.2754536,4.3009058,-2.276619,4.312766
bag_of_words,See the Northern Lights,5,12,7.5,7.5,-2.2754536,4.3009059,-2.276619,4.312767
doc2vec,Read a Banned Book,1,1,18,5,15.670028,5.4441357,18.186771,6.6845956
doc2vec,Read a Banned Book,1,2,-19,2.51,15.670028,5.4441358,18.186771,6.6845957
doc2vec,Read a Banned Book,1,3,,,15.670028,5.4441359,18.186771,6.6845958
doc2vec,Read a Banned Book,1,4,16,4,15.670028,5.444136,18.186771,6.6845959
doc2vec,Read a Banned Book,1,5,-17,0,15.670028,5.4441361,18.186771,6.684596
doc2vec,Read a Banned Book,1,6,20,5,15.670028,5.4441362,18.186771,6.6845961
doc2vec,Read a Banned Book,1,7,-10,0,15.670028,5.4441363,18.186771,6.6845962
doc2vec,Read a Banned Book,1,8,18,5,15.670028,5.4441364,18.186771,6.6845963
doc2vec,Read a Banned Book,1,9,18,6,15.670028,5.4441365,18.186771,6.6845964
doc2vec,Read a Banned Book,1,10,-10,-34,15.670028,5.4441366,18.186771,6.6845965
doc2vec,Read a Banned Book,1,11,18.309536,5.568807,15.670028,5.4441367,18.186771,6.6845966
doc2vec,Read a Banned Book,1,12,-17,3,15.670028,5.4441368,18.186771,6.6845967
doc2vec,Go to a car show,2,1,18,7,15.771378,7.947135,18.309536,5.568807
doc2vec,Go to a car show,2,2,18.3,5.56,15.771378,7.947136,18.309536,5.568808
doc2vec,Go to a car show,2,3,,,15.771378,7.947137,18.309536,5.568809
doc2vec,Go to a car show,2,4,6,3,15.771378,7.947138,18.309536,5.56881
doc2vec,Go to a car show,2,5,18,4,15.771378,7.947139,18.309536,5.568811
doc2vec,Go to a car show,2,6,-20,0,15.771378,7.94714,18.309536,5.568812
doc2vec,Go to a car show,2,7,0,10,15.771378,7.947141,18.309536,5.568813
doc2vec,Go to a car show,2,8,-15,3,15.771378,7.947142,18.309536,5.568814
doc2vec,Go to a car show,2,9,-17,4,15.771378,7.947143,18.309536,5.568815
doc2vec,Go to a car show,2,10,-19,2.5,15.771378,7.947144,18.309536,5.568816
doc2vec,Go to a car show,2,11,18.186771,6.6845956,15.771378,7.947145,18.309536,5.568817
doc2vec,Go to a car show,2,12,18,5,15.771378,7.947146,18.309536,5.568818
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,1,-3,-20,-4.0299916,-23.55784,-4.5921106,-24.26442
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,2,-4.59,24.26,-4.0299916,-23.55784,-4.5921106,-24.26443
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,3,,,-4.0299916,-23.55784,-4.5921106,-24.26444
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,4,,,-4.0299916,-23.55784,-4.5921106,-24.26445
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,5,-4,-24,-4.0299916,-23.55784,-4.5921106,-24.26446
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,6,-5,25,-4.0299916,-23.55784,-4.5921106,-24.26447
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,7,0,0,-4.0299916,-23.55784,-4.5921106,-24.26448
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,8,,,-4.0299916,-23.55784,-4.5921106,-24.26449
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,9,-4,-24,-4.0299916,-23.55784,-4.5921106,-24.2645
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,10,2.5,-19,-4.0299916,-23.55784,-4.5921106,-24.26451
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,11,-4.5921106,-24.26442,-4.0299916,-23.55784,-4.5921106,-24.26452
doc2vec,Explaining the whys and wherefores of a design process without compromising intellectual property can be a great way of giving people more,3,12,2,-19,-4.0299916,-23.55784,-4.5921106,-24.26453
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,1,-3,20,-2.8616004,-22.326271,-4.5921106,-24.26442
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,2,-4.59,24.26,-2.8616004,-22.326272,-4.5921106,-24.26443
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,3,,,-2.8616004,-22.326273,-4.5921106,-24.26444
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,4,10,2,-2.8616004,-22.326274,-4.5921106,-24.26445
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,5,-4,-23,-2.8616004,-22.326275,-4.5921106,-24.26446
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,6,0,-20,-2.8616004,-22.326276,-4.5921106,-24.26447
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,7,0,0,-2.8616004,-22.326277,-4.5921106,-24.26448
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,8,-4,-22,-2.8616004,-22.326278,-4.5921106,-24.26449
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,9,3,-19,-2.8616004,-22.326279,-4.5921106,-24.2645
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,10,2.5,-19,-2.8616004,-22.32628,-4.5921106,-24.26451
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,11,-4.5921106,-24.26442,-2.8616004,-22.326281,-4.5921106,-24.26452
doc2vec,Pose a hypothetical question and ask your followers what they would do in that situation,4,12,4,24,-2.8616004,-22.326282,-4.5921106,-24.26453
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,1,-17,4,-19.384226,1.8426061,-17.394114,3.9192903
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,2,-17.39,3.91,-19.384226,1.8426061,-17.394114,3.9192904
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,3,,,-19.384226,1.8426061,-17.394114,3.9192905
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,4,-20,4,-19.384226,1.8426061,-17.394114,3.9192906
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,5,-17,4,-19.384226,1.8426061,-17.394114,3.9192907
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,6,-20,0,-19.384226,1.8426061,-17.394114,3.9192908
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,7,0,0,-19.384226,1.8426061,-17.394114,3.9192909
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,8,-16,1,-19.384226,1.8426061,-17.394114,3.919291
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,9,-19,2,-19.384226,1.8426061,-17.394114,3.9192911
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,10,-17,4,-19.384226,1.8426061,-17.394114,3.9192912
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,11,-17.394114,3.9192903,-19.384226,1.8426061,-17.394114,3.9192913
doc2vec,Go to a hardware store or a craft store and pick something to make together,5,12,-17,3,-19.384226,1.8426061,-17.394114,3.9192914
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,1,7.6,15,-7.474519,14.729924,-7.6173086,14.978704
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,2,-7.61,14.97,-7.474519,14.729925,-7.6173086,14.978705
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,3,,,-7.474519,14.729926,-7.6173086,14.978706
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,4,7,15,-7.474519,14.729927,-7.6173086,14.978707
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,5,-8,15,-7.474519,14.729928,-7.6173086,14.978708
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,6,-5,15,-7.474519,14.729929,-7.6173086,14.978709
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,7,0,0,-7.474519,14.72993,-7.6173086,14.97871
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,8,-8,15,-7.474519,14.729931,-7.6173086,14.978711
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,9,-7,14,-7.474519,14.729932,-7.6173086,14.978712
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,10,-7,14,-7.474519,14.729933,-7.6173086,14.978713
